"Month","圣斗士星矢（腾讯） Downloads"
"2019-09","2,683,351"
"2019-10","2,137,064"
"2019-11","1,215,335"
"2019-12","734,739"
"2020-01","719,154"
"2020-02","618,937"
"2020-03","517,577"
"2020-04","303,006"
"2020-05","272,402"
"2020-06","430,262"
"2020-07","301,043"
"2020-08","147,015"
"2020-09","143,614"
"2020-10","130,516"
"2020-11","116,154"
"2020-12","130,120"
"2021-01","116,723"
"2021-02","110,673"
"2021-03","132,175"
"2021-04","59,730"
"2021-05","60,772"
"2021-06","66,765"
"2021-07","58,241"
"2021-08","50,219"
"2021-09","103,294"
"2021-10","48,307"
"2021-11","30,927"
"2021-12","34,311"
"2022-01","46,553"
"2022-02","31,189"
"2022-03","33,586"
"2022-04","36,078"
"2022-05","35,247"
"2022-06","142,498"
"2022-07","74,223"
"2022-08","42,843"
"2022-09","34,427"
"2022-10","34,633"
"2022-11","31,044"
"2022-12","25,845"
"2023-01","27,071"
"2023-02","22,121"
"2023-03","22,714"
"2023-04","24,204"
"2023-05","23,044"
"2023-06","22,083"
"2023-07","24,869"
"2023-08","7,718"
